2025-05-28 14:15:56 | ERROR | Error generating course content: Failed to generate modules content
2025-05-28 14:15:56 | ERROR | AI generation failed: Failed to generate modules content
2025-05-28 14:15:56 | WARNING | AI generation failed with error: Failed to generate modules content
2025-05-28 14:15:56 | INFO | Falling back to rule-based course generation.
2025-05-28 14:15:56 | INFO | Course generated successfully
2025-05-28 14:16:04 | INFO | Generating course for topic: sql, level: beginner, days: 5
2025-05-28 14:16:04 | INFO | Attempting to generate course using AI.
2025-05-28 14:16:04 | ERROR | Error generating content with Ollama: [Errno 111] Connection refused
2025-05-28 14:16:04 | ERROR | Error generating course content: Failed to generate modules content
2025-05-28 14:16:04 | ERROR | AI generation failed: Failed to generate modules content
2025-05-28 14:16:04 | WARNING | AI generation failed with error: Failed to generate modules content
2025-05-28 14:16:04 | INFO | Falling back to rule-based course generation.
2025-05-28 14:16:04 | INFO | Course generated successfully
2025-05-28 15:38:22 | INFO | Generating course for topic: sql, level: beginner, days: 8
2025-05-28 15:38:22 | INFO | Attempting to generate course using AI.
2025-05-28 15:38:22 | ERROR | Error generating content with Ollama: [Errno 111] Connection refused
2025-05-28 15:38:22 | ERROR | Error generating course content: Failed to generate modules content
2025-05-28 15:38:22 | ERROR | AI generation failed: Failed to generate modules content
2025-05-28 15:38:22 | WARNING | AI generation failed with error: Failed to generate modules content
2025-05-28 15:38:22 | INFO | Falling back to rule-based course generation.
2025-05-28 15:38:22 | INFO | Course generated successfully
2025-05-28 16:15:35 | INFO | Generating course for topic: sql, level: beginner, days: 8
2025-05-28 16:15:35 | INFO | Attempting to generate course using AI.
2025-05-28 16:15:35 | ERROR | Error generating content with Ollama: [Errno 111] Connection refused
2025-05-28 16:15:35 | ERROR | Error generating course content: Failed to generate modules content
2025-05-28 16:15:35 | ERROR | AI generation failed: Failed to generate modules content
2025-05-28 16:15:35 | WARNING | AI generation failed with error: Failed to generate modules content
2025-05-28 16:15:35 | INFO | Falling back to rule-based course generation.
2025-05-28 16:15:35 | INFO | Course generated successfully
